"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","",""
"C1,C3,C4,C5","4","C","","","","",""
"C2","1","C_Polarized","","","","",""
"D1","1","LED","","","","",""
"J1","1","USB_C_Receptacle","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x12_Pin","","","","",""
"J3","1","Conn_Coaxial","","","","",""
"R1,R2,R3,R4,R5,R6","6","R","","","","",""
"SW1,SW2","2","RotaryEncoder_Switch","","","","",""
"SW3,SW4","2","SW_Push","","","","",""
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","L70-R","","","","RF_GPS:Quectel_L70-R","https://www.quectel.com/product/gps-only-l70-r"
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
